證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
2317   	鴻海         	20170919	  113.50	  114.00	  110.00	  110.00	    98361	    10956198
2330   	台積電       	20170919	  221.50	  221.50	  220.00	  221.50	    26255	     5742129
2412   	中華電       	20170919	  104.00	  104.00	  103.50	  104.00	     4847	      503231
Y9999  	加權指數     	20170919	10653.34	10664.18	10561.21	10576.14	  6625270	   140825604
2317   	鴻海         	20170920	  109.00	  110.00	  106.50	  106.50	    98939	    10663297
2330   	台積電       	20170920	  221.00	  222.00	  220.00	  221.50	    23434	     5179958
2412   	中華電       	20170920	  103.50	  104.00	  103.50	  104.00	     6619	      686276
Y9999  	加權指數     	20170920	10568.58	10589.19	10490.71	10519.17	  5895804	   131844817
2317   	鴻海         	20170921	  105.50	  112.00	  105.00	  111.00	   105628	    11532548
2330   	台積電       	20170921	  221.00	  223.00	  220.00	  221.00	    18645	     4125047
2412   	中華電       	20170921	  103.50	  104.00	  103.50	  103.50	     3653	      378504
Y9999  	加權指數     	20170921	10506.85	10603.08	10493.95	10578.44	  5569265	   121796308
2317   	鴻海         	20170922	  109.00	  110.00	  108.00	  108.00	    58633	     6370532
2330   	台積電       	20170922	  221.50	  222.00	  218.50	  218.50	    22456	     4930530
2412   	中華電       	20170922	  103.50	  104.00	  103.00	  103.50	     3434	      355287
Y9999  	加權指數     	20170922	10571.65	10579.02	10446.45	10449.68	  5727401	   122302198
2317   	鴻海         	20170925	  107.00	  107.00	  105.00	  105.00	    71182	     7516424
2330   	台積電       	20170925	  217.50	  218.50	  217.00	  217.00	    17458	     3797761
2412   	中華電       	20170925	  103.50	  103.50	  102.50	  103.00	     6036	      622305
Y9999  	加權指數     	20170925	10442.05	10447.09	10322.10	10335.89	  5784894	   132130208
2317   	鴻海         	20170926	  104.00	  106.00	  103.00	  103.50	    72853	     7619053
2330   	台積電       	20170926	  217.50	  218.00	  214.00	  214.00	    25003	     5392244
2412   	中華電       	20170926	  103.00	  103.50	  102.50	  103.00	     4925	      507011
Y9999  	加權指數     	20170926	10333.44	10374.54	10257.02	10257.02	  5758755	   123610817
2317   	鴻海         	20170927	  105.00	  105.50	  104.50	  105.00	    37848	     3977834
2330   	台積電       	20170927	  217.50	  217.50	  215.00	  215.00	    24794	     5353580
2412   	中華電       	20170927	  103.00	  103.50	  102.50	  103.00	     5689	      587045
Y9999  	加權指數     	20170927	10322.44	10357.23	10315.97	10326.68	  5280623	   110708660
2317   	鴻海         	20170928	  106.00	  106.00	  104.00	  104.50	    36877	     3872097
2330   	台積電       	20170928	  215.00	  216.00	  213.50	  214.00	    31616	     6788534
2412   	中華電       	20170928	  103.50	  104.00	  103.00	  103.00	     7805	      807558
Y9999  	加權指數     	20170928	10351.42	10365.59	10288.24	10296.45	  5003507	   107640220
2317   	鴻海         	20170929	  104.50	  105.50	  103.50	  105.00	    35552	     3720368
2330   	台積電       	20170929	  216.00	  217.50	  215.50	  216.50	    23954	     5184362
2412   	中華電       	20170929	  103.50	  104.50	  103.00	  104.50	     5650	      588227
Y9999  	加權指數     	20170929	10319.69	10338.95	10273.60	10329.94	  4925439	   101796738
2317   	鴻海         	20170930	  106.00	  107.00	  105.50	  107.00	    15841	     1689225
2330   	台積電       	20170930	  218.00	  218.50	  216.50	  216.50	     4254	      924823
2412   	中華電       	20170930	  104.50	  105.00	  104.50	  104.50	     2711	      284197
Y9999  	加權指數     	20170930	10362.55	10400.40	10362.55	10383.94	  3583409	    54278685
2317   	鴻海         	20171002	  108.00	  108.00	  107.00	  107.00	    24692	     2654340
2330   	台積電       	20171002	  219.50	  220.50	  218.50	  220.50	    28360	     6233064
2412   	中華電       	20171002	  104.50	  104.50	  103.00	  103.50	     7326	      760982
Y9999  	加權指數     	20171002	10425.10	10472.81	10414.53	10465.16	  4720525	   101571488
2317   	鴻海         	20171003	  107.50	  108.00	  106.00	  106.00	    26015	     2773332
2330   	台積電       	20171003	  219.00	  223.00	  219.00	  222.50	    38330	     8497244
2412   	中華電       	20171003	  103.50	  103.50	  103.00	  103.00	     7922	      817529
Y9999  	加權指數     	20171003	10462.70	10495.34	10445.86	10469.35	  4790980	   109420203
2317   	鴻海         	20171005	  106.50	  107.00	  105.00	  106.00	    22523	     2388118
2330   	台積電       	20171005	  222.00	  225.50	  222.00	  224.50	    25397	     5691251
2412   	中華電       	20171005	  103.00	  103.50	  103.00	  103.00	     7780	      803365
Y9999  	加權指數     	20171005	10473.28	10530.93	10473.28	10518.27	  4672633	   106536506
2317   	鴻海         	20171006	  106.50	  107.00	  106.00	  106.50	    22385	     2380750
2330   	台積電       	20171006	  225.00	  225.50	  223.50	  224.50	    16040	     3604683
2412   	中華電       	20171006	  103.00	  103.50	  103.00	  103.00	     6934	      715031
Y9999  	加權指數     	20171006	10538.21	10557.67	10511.50	10532.81	  4669025	   109117143
2317   	鴻海         	20171011	  107.50	  109.00	  107.00	  107.00	    44155	     4757774
2330   	台積電       	20171011	  226.50	  233.50	  226.50	  233.00	    67649	    15633206
2412   	中華電       	20171011	  103.00	  103.50	  102.50	  103.00	    14554	     1500592
Y9999  	加權指數     	20171011	10576.12	10668.49	10576.12	10641.19	  5950658	   156055654
2317   	鴻海         	20171012	  108.50	  109.00	  107.50	  108.00	    41863	     4532907
2330   	台積電       	20171012	  235.00	  237.50	  234.50	  237.50	    44176	    10450920
2412   	中華電       	20171012	  103.00	  103.50	  103.00	  103.00	     8574	      884297
Y9999  	加權指數     	20171012	10668.39	10711.44	10668.39	10711.44	  5367696	   126234928
2317   	鴻海         	20171013	  108.00	  108.00	  107.00	  108.00	    26951	     2897914
2330   	台積電       	20171013	  237.50	  237.50	  234.50	  237.50	    23145	     5465540
2412   	中華電       	20171013	  103.00	  103.50	  103.00	  103.50	     6605	      681953
Y9999  	加權指數     	20171013	10712.48	10724.09	10675.83	10724.09	  5252705	   123502674
2317   	鴻海         	20171016	  109.00	  110.00	  108.00	  109.50	    34884	     3802487
2330   	台積電       	20171016	  237.50	  238.00	  236.00	  238.00	    20673	     4906963
2412   	中華電       	20171016	  103.50	  103.50	  103.00	  103.00	     9368	      967211
Y9999  	加權指數     	20171016	10735.14	10774.21	10723.37	10774.21	  5697392	   126832090
2317   	鴻海         	20171017	  111.00	  111.00	  109.50	  110.50	    40472	     4469022
2330   	台積電       	20171017	  238.00	  238.00	  235.00	  235.50	    17652	     4171891
2412   	中華電       	20171017	  103.50	  103.50	  103.00	  103.50	     9365	      966424
Y9999  	加權指數     	20171017	10790.35	10798.52	10723.15	10723.15	  5300574	   121200574
2317   	鴻海         	20171018	  111.50	  112.00	  110.00	  111.50	    39251	     4357759
2330   	台積電       	20171018	  239.50	  239.50	  237.00	  237.50	    28970	     6901364
2412   	中華電       	20171018	  103.50	  103.50	  103.00	  103.00	    10460	     1079387
Y9999  	加權指數     	20171018	10773.85	10790.31	10684.32	10720.28	  5743037	   137887349
2317   	鴻海         	20171019	  112.00	  113.50	  111.50	  113.00	    44806	     5053980
2330   	台積電       	20171019	  239.50	  241.50	  239.00	  239.00	    23481	     5636769
2412   	中華電       	20171019	  103.00	  103.50	  102.50	  102.50	     8910	      917467
Y9999  	加權指數     	20171019	10745.77	10798.54	10745.77	10760.29	  5461982	   119853553
2317   	鴻海         	20171020	  112.00	  113.00	  111.00	  112.00	    28950	     3242768
2330   	台積電       	20171020	  238.00	  239.50	  237.50	  237.50	    27056	     6456386
2412   	中華電       	20171020	  102.50	  103.00	  102.50	  102.50	     9295	      954651
Y9999  	加權指數     	20171020	10737.87	10753.77	10702.56	10728.88	  5337213	   126369607
2317   	鴻海         	20171023	  112.50	  113.00	  109.00	  109.50	    31138	     3449871
2330   	台積電       	20171023	  239.00	  240.00	  238.50	  239.00	    15959	     3820927
2412   	中華電       	20171023	  103.00	  103.00	  102.50	  103.00	     4602	      473795
Y9999  	加權指數     	20171023	10759.47	10792.27	10731.90	10735.21	  4926106	   105641792
2317   	鴻海         	20171024	  110.00	  111.50	  109.00	  109.50	    28243	     3101492
2330   	台積電       	20171024	  240.00	  240.00	  238.00	  238.00	    16100	     3842463
2412   	中華電       	20171024	  103.00	  103.00	  102.50	  102.50	     8522	      874731
Y9999  	加權指數     	20171024	10749.90	10766.64	10726.25	10743.78	  5237811	   111985940
2317   	鴻海         	20171025	  111.00	  111.50	  110.00	  111.00	    29879	     3307846
2330   	台積電       	20171025	  238.50	  239.00	  237.50	  238.00	    17205	     4099505
2412   	中華電       	20171025	  103.00	  103.00	  102.50	  102.50	     4438	      456011
Y9999  	加權指數     	20171025	10771.40	10794.55	10740.07	10750.57	  5508162	   120240229
2317   	鴻海         	20171026	  110.00	  111.50	  110.00	  110.50	    19615	     2171214
2330   	台積電       	20171026	  237.00	  238.00	  236.00	  236.00	    12959	     3069618
2412   	中華電       	20171026	  102.50	  103.00	  102.50	  102.50	     6674	      684573
Y9999  	加權指數     	20171026	10735.35	10756.51	10716.52	10734.76	  5218891	   112492410
2317   	鴻海         	20171027	  111.50	  112.00	  110.00	  110.00	    27118	     2996616
2330   	台積電       	20171027	  237.50	  240.00	  237.50	  239.00	    18040	     4304460
2412   	中華電       	20171027	  102.50	  103.00	  102.50	  103.00	     6804	      698508
Y9999  	加權指數     	20171027	10757.35	10803.60	10701.08	10709.11	  6671349	   149096652
2317   	鴻海         	20171030	  113.00	  114.00	  111.50	  111.50	    42080	     4736954
2330   	台積電       	20171030	  242.00	  245.00	  241.50	  243.00	    30241	     7358619
2412   	中華電       	20171030	  103.00	  103.50	  102.50	  102.50	     5802	      597537
Y9999  	加權指數     	20171030	10777.60	10842.25	10743.13	10756.87	  5553482	   125069645
2317   	鴻海         	20171031	  112.50	  113.00	  111.50	  112.00	    33161	     3727025
2330   	台積電       	20171031	  243.50	  245.00	  241.50	  243.00	    22582	     5497062
2412   	中華電       	20171031	  102.50	  103.00	  102.50	  103.00	     4201	      432623
Y9999  	加權指數     	20171031	10768.90	10829.33	10747.37	10793.80	  5326084	   119064708
2317   	鴻海         	20171101	  112.50	  113.00	  111.50	  112.00	    21096	     2366251
2330   	台積電       	20171101	  243.50	  245.00	  241.50	  242.50	    20465	     4975624
2412   	中華電       	20171101	  103.00	  103.50	  102.50	  102.50	     8149	      838348
Y9999  	加權指數     	20171101	10816.04	10843.41	10785.32	10806.36	  5922894	   129426685
2317   	鴻海         	20171102	  111.50	  113.00	  111.50	  112.50	    23729	     2667065
2330   	台積電       	20171102	  242.00	  242.50	  240.50	  241.00	    16309	     3940181
2412   	中華電       	20171102	  102.50	  103.00	  102.00	  102.00	    10331	     1057640
Y9999  	加權指數     	20171102	10797.63	10827.67	10788.51	10788.51	  5623447	   119936692
2317   	鴻海         	20171103	  113.00	  114.50	  112.50	  113.00	    34130	     3863385
2330   	台積電       	20171103	  240.50	  241.00	  238.50	  239.00	    18327	     4386122
2412   	中華電       	20171103	  102.50	  103.00	  102.00	  102.00	     5779	      591000
Y9999  	加權指數     	20171103	10797.91	10835.70	10765.31	10800.77	  5322948	   115901236
2317   	鴻海         	20171106	  114.50	  114.50	  113.00	  113.00	    22917	     2603026
2330   	台積電       	20171106	  243.50	  244.00	  239.00	  239.50	    21029	     5063670
2412   	中華電       	20171106	  102.50	  102.50	  102.00	  102.00	     5088	      520681
Y9999  	加權指數     	20171106	10856.56	10858.50	10769.19	10786.19	  5351919	   113506433
2317   	鴻海         	20171107	  114.00	  114.00	  112.00	  112.00	    30062	     3389568
2330   	台積電       	20171107	  242.00	  244.00	  241.50	  244.00	    21689	     5266500
2412   	中華電       	20171107	  102.50	  103.00	  102.00	  102.50	     6444	      660926
Y9999  	加權指數     	20171107	10820.83	10842.61	10807.89	10840.34	  6076222	   127711097
2317   	鴻海         	20171108	  112.50	  113.00	  111.00	  111.00	    25853	     2889011
2330   	台積電       	20171108	  243.00	  243.50	  242.00	  242.50	    14579	     3536455
2412   	中華電       	20171108	  102.50	  103.00	  102.00	  103.00	     4591	      471560
Y9999  	加權指數     	20171108	10839.44	10844.74	10806.01	10818.99	  5841076	   121301420
2317   	鴻海         	20171109	  111.00	  111.50	  108.50	  108.50	    41021	     4501231
2330   	台積電       	20171109	  240.50	  243.00	  240.00	  241.00	    21366	     5151628
2412   	中華電       	20171109	  102.50	  103.00	  102.50	  103.00	     8677	      891061
Y9999  	加權指數     	20171109	10802.95	10831.38	10721.87	10743.27	  6796045	   148810975
2317   	鴻海         	20171110	  106.50	  108.00	  106.00	  107.50	    51985	     5555682
2330   	台積電       	20171110	  240.00	  242.00	  239.50	  240.50	    15061	     3629826
2412   	中華電       	20171110	  102.50	  103.50	  102.00	  103.50	     9505	      976888
Y9999  	加權指數     	20171110	10713.67	10742.61	10659.29	10732.67	  5788395	   120387676
2317   	鴻海         	20171113	  107.50	  108.00	  106.50	  107.00	    24375	     2612825
2330   	台積電       	20171113	  240.00	  241.50	  239.50	  239.50	    12087	     2904559
2412   	中華電       	20171113	  103.00	  103.50	  102.50	  102.50	    11160	     1147424
Y9999  	加權指數     	20171113	10728.22	10749.39	10683.92	10683.92	  6384150	   129786130
2317   	鴻海         	20171114	  108.00	  108.00	  106.00	  106.00	    27612	     2940395
2330   	台積電       	20171114	  241.00	  241.00	  239.00	  240.00	    17229	     4132433
2412   	中華電       	20171114	  102.50	  103.00	  102.50	  103.00	     7423	      762652
Y9999  	加權指數     	20171114	10716.59	10735.08	10654.58	10687.18	  6180626	   125450282
2317   	鴻海         	20171115	  103.00	  104.50	  103.00	  103.00	   127903	    13226464
2330   	台積電       	20171115	  239.00	  239.50	  236.00	  237.50	    29720	     7063591
2412   	中華電       	20171115	  102.50	  103.00	  102.00	  102.50	    18958	     1944187
Y9999  	加權指數     	20171115	10662.08	10669.59	10600.26	10630.65	  5744455	   129463951
2317   	鴻海         	20171116	  102.50	  104.50	  102.50	  104.00	    48894	     5071354
2330   	台積電       	20171116	  238.00	  240.00	  237.50	  238.00	    17274	     4118927
2412   	中華電       	20171116	  102.50	  103.00	  102.50	  102.50	     7155	      734184
Y9999  	加權指數     	20171116	10629.16	10666.66	10609.23	10625.04	  5341731	   106258098
2317   	鴻海         	20171117	  105.50	  106.50	  105.50	  105.50	    53510	     5666574
2330   	台積電       	20171117	  240.50	  242.50	  240.50	  241.50	    18741	     4528440
2412   	中華電       	20171117	  102.50	  103.00	  102.50	  103.00	     6850	      703652
Y9999  	加權指數     	20171117	10673.43	10729.45	10673.43	10701.64	  5974753	   128443868
2317   	鴻海         	20171120	  105.50	  105.50	  104.00	  104.00	    35010	     3659590
2330   	台積電       	20171120	  241.00	  241.50	  238.00	  238.50	    19811	     4744311
2412   	中華電       	20171120	  103.00	  103.00	  102.50	  102.50	     6359	      652989
Y9999  	加權指數     	20171120	10706.79	10728.39	10656.18	10664.55	  5807282	   110548858
2317   	鴻海         	20171121	  104.50	  105.00	  104.00	  104.00	    34836	     3635115
2330   	台積電       	20171121	  240.00	  243.00	  239.50	  243.00	    22878	     5529803
2412   	中華電       	20171121	  102.50	  103.00	  102.50	  103.00	     6940	      713587
Y9999  	加權指數     	20171121	10688.22	10787.58	10687.26	10779.24	  7053601	   138856976
2317   	鴻海         	20171122	  104.00	  105.00	  104.00	  104.00	    47707	     4973975
2330   	台積電       	20171122	  244.50	  244.50	  242.00	  242.00	    27251	     6631376
2412   	中華電       	20171122	  103.00	  103.50	  102.50	  103.50	     9498	      980274
Y9999  	加權指數     	20171122	10815.40	10882.65	10801.10	10822.59	  8528991	   180091845
2317   	鴻海         	20171123	  104.00	  106.00	  104.00	  106.00	    31314	     3290078
2330   	台積電       	20171123	  242.00	  243.50	  241.50	  242.50	     9562	     2320934
2412   	中華電       	20171123	  103.50	  103.50	  103.00	  103.50	     4635	      479483
Y9999  	加權指數     	20171123	10837.61	10872.29	10809.09	10854.57	  6616309	   130565718
2317   	鴻海         	20171124	  105.00	  106.00	  104.50	  104.50	    23221	     2437422
2330   	台積電       	20171124	  242.00	  244.50	  241.50	  244.00	    11404	     2777319
2412   	中華電       	20171124	  103.50	  104.00	  103.00	  104.00	     6164	      639968
Y9999  	加權指數     	20171124	10847.79	10873.91	10833.78	10854.09	  6581726	   128775377
2317   	鴻海         	20171127	  104.50	  105.00	  103.00	  103.00	    36176	     3747390
2330   	台積電       	20171127	  240.00	  240.00	  237.00	  237.00	    32247	     7696717
2412   	中華電       	20171127	  104.00	  104.00	  103.50	  104.00	     6655	      691447
Y9999  	加權指數     	20171127	10836.82	10856.00	10746.74	10750.93	  6542165	   135371906
2317   	鴻海         	20171128	  103.00	  103.50	  102.00	  102.50	    38065	     3912811
2330   	台積電       	20171128	  234.50	  235.00	  233.00	  234.00	    47834	    11198457
2412   	中華電       	20171128	  104.00	  104.50	  103.50	  104.50	    10062	     1047185
Y9999  	加權指數     	20171128	10733.56	10752.58	10692.53	10707.07	  6703436	   142467877
2317   	鴻海         	20171129	  103.00	  103.50	  102.50	  103.00	    29979	     3083270
2330   	台積電       	20171129	  235.00	  236.00	  234.50	  234.50	    26535	     6234161
2412   	中華電       	20171129	  104.00	  104.50	  103.50	  104.50	     6365	      662240
Y9999  	加權指數     	20171129	10735.24	10762.91	10697.62	10713.55	  6677175	   135641952
2317   	鴻海         	20171130	  102.00	  102.50	  100.00	  100.00	    78888	     7954419
2330   	台積電       	20171130	  226.50	  230.50	  226.00	  226.00	   112262	    25539072
2412   	中華電       	20171130	  104.00	  104.50	  103.50	  103.50	    16869	     1751359
Y9999  	加權指數     	20171130	10623.20	10650.18	10560.44	10560.44	  8809780	   233550933
2317   	鴻海         	20171201	  100.00	  100.50	   98.00	   99.10	    81553	     8098927
2330   	台積電       	20171201	  228.50	  233.50	  227.50	  231.00	    38356	     8830392
2412   	中華電       	20171201	  104.00	  104.50	  103.50	  104.00	    10298	     1071713
Y9999  	加權指數     	20171201	10591.62	10665.92	10495.15	10600.37	  7933236	   181374846
2317   	鴻海         	20171204	   98.50	   99.30	   98.00	   99.00	    43293	     4268583
2330   	台積電       	20171204	  232.50	  234.50	  231.00	  234.00	    22939	     5347622
2412   	中華電       	20171204	  104.00	  104.00	  103.50	  104.00	     7216	      750005
Y9999  	加權指數     	20171204	10617.27	10665.43	10565.68	10651.11	  6430784	   129855154
2317   	鴻海         	20171205	   97.80	   97.90	   95.50	   95.60	    93683	     9042519
2330   	台積電       	20171205	  231.00	  231.00	  228.50	  229.50	    30189	     6938661
2412   	中華電       	20171205	  103.50	  104.00	  103.50	  104.00	    10646	     1104959
Y9999  	加權指數     	20171205	10607.62	10635.71	10540.74	10566.85	  6970138	   146624864
2317   	鴻海         	20171206	   93.50	   94.50	   93.00	   93.00	    98881	     9246060
2330   	台積電       	20171206	  228.00	  229.50	  226.50	  227.00	    34031	     7752572
2412   	中華電       	20171206	  103.50	  104.00	  103.50	  104.00	    12348	     1283306
Y9999  	加權指數     	20171206	10541.03	10541.03	10376.65	10393.92	  7215142	   161324617
2317   	鴻海         	20171207	   93.60	   94.30	   93.00	   93.60	    40330	     3777300
2330   	台積電       	20171207	  226.50	  226.50	  222.50	  226.50	    41619	     9349711
2412   	中華電       	20171207	  104.00	  104.50	  103.50	  104.50	    14712	     1534621
Y9999  	加權指數     	20171207	10404.42	10418.97	10322.76	10355.76	  6593705	   138535637
2317   	鴻海         	20171208	   93.20	   94.30	   92.50	   93.60	    45334	     4229170
2330   	台積電       	20171208	  231.00	  231.00	  224.50	  227.00	    38183	     8678808
2412   	中華電       	20171208	  104.50	  104.50	  104.00	  104.50	    10005	     1045375
Y9999  	加權指數     	20171208	10406.35	10419.28	10336.26	10398.62	  6220995	   130820598
2317   	鴻海         	20171211	   95.70	   97.30	   95.60	   96.00	    72637	     7004102
2330   	台積電       	20171211	  228.50	  229.00	  227.00	  227.50	    20649	     4706571
2412   	中華電       	20171211	  104.50	  105.00	  104.00	  104.50	     5298	      554109
Y9999  	加權指數     	20171211	10438.33	10504.67	10438.33	10473.09	  6037430	   117916623
2317   	鴻海         	20171212	   96.00	   96.00	   94.00	   94.10	    50860	     4817222
2330   	台積電       	20171212	  229.50	  229.50	  225.00	  227.50	    28188	     6399536
2412   	中華電       	20171212	  104.50	  105.00	  104.50	  104.50	     6411	      671281
Y9999  	加權指數     	20171212	10488.73	10495.24	10408.06	10443.28	  5475479	   108920588
2317   	鴻海         	20171213	   93.50	   94.10	   93.30	   93.70	    36948	     3460214
2330   	台積電       	20171213	  227.50	  228.00	  226.50	  227.00	    19619	     4454578
2412   	中華電       	20171213	  104.50	  105.00	  104.50	  104.50	     8100	      848460
Y9999  	加權指數     	20171213	10447.11	10489.17	10444.70	10470.70	  5215130	   103929164
2317   	鴻海         	20171214	   94.10	   95.50	   94.10	   94.90	    32612	     3092263
2330   	台積電       	20171214	  228.00	  230.50	  227.50	  230.50	    17263	     3956456
2412   	中華電       	20171214	  104.50	  105.00	  104.50	  105.00	    10639	     1115872
Y9999  	加權指數     	20171214	10494.60	10577.53	10494.60	10538.01	  5600785	   113661041
2317   	鴻海         	20171215	   94.50	   94.60	   93.50	   93.50	    51848	     4857630
2330   	台積電       	20171215	  228.50	  230.00	  226.50	  230.00	    42725	     9781791
2412   	中華電       	20171215	  105.00	  105.50	  105.00	  105.50	    12933	     1361646
Y9999  	加權指數     	20171215	10517.21	10520.66	10436.11	10491.44	  5727664	   126673478
2317   	鴻海         	20171218	   94.50	   94.50	   93.60	   93.60	    21578	     2028845
2330   	台積電       	20171218	  227.00	  228.00	  226.50	  227.00	    15702	     3565805
2412   	中華電       	20171218	  105.00	  105.50	  105.00	  105.00	     8051	      846625
Y9999  	加權指數     	20171218	10478.74	10526.41	10472.39	10506.52	  4588561	    96046418
2317   	鴻海         	20171219	   93.10	   93.50	   91.20	   91.20	    68473	     6315134
2330   	台積電       	20171219	  226.50	  228.50	  224.00	  225.00	    25899	     5844605
2412   	中華電       	20171219	  105.00	  105.50	  105.00	  105.00	    11777	     1238083
Y9999  	加權指數     	20171219	10508.33	10544.00	10452.08	10467.34	  5098487	   112683186
2317   	鴻海         	20171220	   90.50	   92.70	   90.50	   92.70	    40554	     3718354
2330   	台積電       	20171220	  225.00	  225.50	  223.50	  224.50	    34514	     7748610
2412   	中華電       	20171220	  105.00	  105.50	  105.00	  105.50	     6108	      643426
Y9999  	加權指數     	20171220	10470.36	10514.31	10470.36	10504.52	  5084408	   103871766
2317   	鴻海         	20171221	   93.00	   93.10	   92.30	   92.30	    20805	     1927319
2330   	台積電       	20171221	  226.50	  227.00	  224.50	  225.00	    20826	     4696105
2412   	中華電       	20171221	  105.50	  105.50	  105.00	  105.00	     6658	      701065
Y9999  	加權指數     	20171221	10526.97	10545.78	10488.97	10488.97	  5089181	    99221790
2317   	鴻海         	20171222	   92.90	   92.90	   92.40	   92.90	    17238	     1599175
2330   	台積電       	20171222	  225.00	  227.50	  224.00	  227.50	    19106	     4315809
2412   	中華電       	20171222	  105.50	  105.50	  105.00	  105.50	     4061	      428097
Y9999  	加權指數     	20171222	10503.10	10537.27	10486.52	10537.27	  4591388	    91994484
2317   	鴻海         	20171225	   93.00	   93.20	   92.10	   92.10	    12571	     1164228
2330   	台積電       	20171225	  228.00	  229.50	  226.50	  228.50	     4579	     1045118
2412   	中華電       	20171225	  105.50	  106.00	  105.00	  106.00	     3648	      385373
Y9999  	加權指數     	20171225	10546.64	10556.65	10514.54	10522.49	  4356973	    81617030
2317   	鴻海         	20171226	   92.00	   92.10	   90.50	   91.20	    26648	     2428142
2330   	台積電       	20171226	  229.00	  229.00	  225.00	  226.00	    13755	     3118538
2412   	中華電       	20171226	  105.50	  106.00	  105.50	  105.50	     2440	      258149
Y9999  	加權指數     	20171226	10526.14	10528.92	10408.12	10421.91	  5063760	    97562886
2317   	鴻海         	20171227	   91.70	   92.20	   91.50	   92.20	    21235	     1951241
2330   	台積電       	20171227	  225.00	  226.00	  225.00	  225.00	    12515	     2820168
2412   	中華電       	20171227	  106.00	  106.50	  105.50	  106.00	     6270	      664785
Y9999  	加權指數     	20171227	10419.81	10497.77	10419.81	10486.67	  4919533	    92597567
2317   	鴻海         	20171228	   93.20	   94.70	   92.90	   94.30	    40309	     3790829
2330   	台積電       	20171228	  226.50	  228.00	  225.00	  226.00	    24370	     5521736
2412   	中華電       	20171228	  106.00	  106.50	  105.00	  105.50	    10589	     1119841
Y9999  	加權指數     	20171228	10513.29	10592.04	10513.29	10567.64	  5457228	   110344378
2317   	鴻海         	20171229	   94.70	   95.30	   94.60	   95.20	    37907	     3600566
2330   	台積電       	20171229	  227.50	  230.00	  226.50	  229.50	    25610	     5861624
2412   	中華電       	20171229	  105.50	  106.00	  105.50	  106.00	     6823	      721673
Y9999  	加權指數     	20171229	10590.95	10659.98	10590.95	10642.86	  5349314	   109938213
2317   	鴻海         	20180102	   95.40	   95.70	   94.30	   95.00	    28602	     2717808
2330   	台積電       	20180102	  231.50	  232.50	  231.00	  232.50	    18055	     4188555
2412   	中華電       	20180102	  106.00	  108.00	  105.50	  107.50	    11863	     1268753
Y9999  	加權指數     	20180102	10664.82	10710.73	10650.77	10710.73	  5393557	   104485978
2317   	鴻海         	20180103	   95.00	   95.30	   94.00	   94.00	    58507	     5524486
2330   	台積電       	20180103	  236.00	  238.00	  235.50	  237.00	    31706	     7504382
2412   	中華電       	20180103	  107.50	  108.00	  107.00	  108.00	    12032	     1294010
Y9999  	加權指數     	20180103	10759.61	10813.16	10759.61	10801.57	  6544990	   141723704
2317   	鴻海         	20180104	   93.60	   93.90	   92.50	   92.60	    53756	     4991911
2330   	台積電       	20180104	  240.00	  240.00	  236.50	  239.50	    29179	     6963192
2412   	中華電       	20180104	  108.00	  108.00	  107.50	  108.00	    11011	     1186683
Y9999  	加權指數     	20180104	10834.58	10853.46	10794.25	10848.63	  6740175	   143686958
2317   	鴻海         	20180105	   92.30	   93.00	   91.60	   93.00	    59252	     5464513
2330   	台積電       	20180105	  240.00	  240.00	  238.00	  240.00	    23721	     5681934
2412   	中華電       	20180105	  108.00	  108.50	  107.50	  108.50	    16499	     1785013
Y9999  	加權指數     	20180105	10856.92	10879.80	10815.68	10879.80	  6715972	   144004915
2317   	鴻海         	20180108	   92.30	   92.60	   91.70	   91.80	    50081	     4603246
2330   	台積電       	20180108	  242.00	  242.50	  240.50	  242.00	    21846	     5281823
2412   	中華電       	20180108	  108.50	  109.00	  108.00	  108.50	     9758	     1059531
Y9999  	加權指數     	20180108	10899.09	10918.47	10869.12	10915.75	  6747313	   139301785
2317   	鴻海         	20180109	   92.50	   92.60	   91.80	   91.80	    37896	     3486758
2330   	台積電       	20180109	  242.00	  242.00	  239.50	  242.00	    19043	     4588314
2412   	中華電       	20180109	  108.50	  109.00	  108.00	  109.00	    11523	     1252108
Y9999  	加權指數     	20180109	10922.35	10931.00	10860.77	10914.89	  6453410	   133211413
2317   	鴻海         	20180110	   91.20	   91.50	   90.60	   90.80	    56026	     5095360
2330   	台積電       	20180110	  241.50	  242.00	  236.00	  236.50	    25716	     6118683
2412   	中華電       	20180110	  109.00	  109.50	  108.50	  108.50	    17393	     1895381
Y9999  	加權指數     	20180110	10915.32	10934.75	10819.25	10831.09	  6815293	   139187895
2317   	鴻海         	20180111	   91.20	   92.50	   90.90	   91.40	    66709	     6098320
2330   	台積電       	20180111	  235.00	  236.00	  232.50	  235.00	    32070	     7500674
2412   	中華電       	20180111	  108.50	  109.00	  108.00	  108.50	     7685	      833637
Y9999  	加權指數     	20180111	10824.54	10844.08	10770.10	10810.06	  5956643	   124656557
2317   	鴻海         	20180112	   91.60	   92.40	   91.50	   91.80	    48985	     4502608
2330   	台積電       	20180112	  234.50	  238.00	  233.50	  237.00	    23141	     5463302
2412   	中華電       	20180112	  108.50	  109.00	  108.00	  108.50	     8159	      886437
