證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
Y9999  	加權指數     	20170621	10310.97	10379.82	10274.75	10349.72	  5132712	   110615625
2317   	鴻海         	20170622	  108.71	  110.15	  107.75	  108.23	    59437	     6729021
2330   	台積電       	20170622	  210.00	  210.97	  209.52	  210.97	    26094	     5674049
2412   	中華電       	20170622	  103.13	  103.60	  102.65	  103.60	     8742	      944837
Y9999  	加權指數     	20170622	10369.08	10403.36	10368.93	10399.06	  4738922	    97969279
2317   	鴻海         	20170623	  108.71	  109.67	  108.23	  108.23	    37930	     4287781
2330   	台積電       	20170623	  210.97	  211.45	  210.00	  210.00	    39686	     8627393
2412   	中華電       	20170623	  103.60	  103.60	  103.13	  103.60	     5949	      643668
Y9999  	加權指數     	20170623	10403.56	10422.33	10374.01	10377.70	  4289799	    91395185
2317   	鴻海         	20170626	  109.19	  116.41	  108.71	  115.44	   139000	    16469160
2330   	台積電       	20170626	  212.00	  215.00	  212.00	  215.00	    60140	    12848925
2412   	中華電       	20170626	  103.60	  104.08	  103.13	  104.08	    10425	     1130208
Y9999  	加權指數     	20170626	10341.86	10513.96	10341.86	10513.96	  5791622	   135026851
2317   	鴻海         	20170627	  114.48	  117.85	  114.48	  116.89	    83973	    10148867
2330   	台積電       	20170627	  214.00	  214.00	  211.00	  211.50	    44504	     9437315
2412   	中華電       	20170627	  104.08	  104.08	  103.13	  104.08	     9659	     1050839
Y9999  	加權指數     	20170627	10513.00	10545.70	10489.10	10512.06	  5598438	   114683454
2317   	鴻海         	20170628	  115.44	  116.41	  113.52	  113.52	    99401	    11890167
2330   	台積電       	20170628	  209.50	  210.00	  208.00	  208.50	    52273	    10919812
2412   	中華電       	20170628	  103.60	  104.08	  103.13	  103.60	     7582	      822673
Y9999  	加權指數     	20170628	10459.17	10459.17	10382.81	10390.55	  6023213	   124947255
2317   	鴻海         	20170629	  114.96	  115.44	  114.00	  114.48	    48517	     5781129
2330   	台積電       	20170629	  210.50	  210.50	  208.50	  210.00	    27049	     5678566
